"FileName","FilePath","BirthTime","AccessTime"
"com.fortinet.forticlient.ztnafw.plist","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\Safe Storage\daemons\com.fortinet.forticlient.ztnafw.plist","10/25/2021 1:55:25 PM","12/1/2023 12:01:10 PM"
"com.microsoft.autoupdate.helper.plist","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\Safe Storage\daemons\com.microsoft.autoupdate.helper.plist","1/13/2022 10:09:42 PM","12/1/2023 12:01:10 PM"
"com.microsoft.office.licensingV2.helper.plist","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\Safe Storage\daemons\com.microsoft.office.licensingV2.helper.plist","11/14/2021 11:57:01 AM","12/1/2023 12:01:10 PM"
"com.microsoft.OneDriveStandaloneUpdaterDaemon.plist","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\Safe Storage\daemons\com.microsoft.OneDriveStandaloneUpdaterDaemon.plist","12/14/2021 12:17:19 PM","12/1/2023 12:01:10 PM"
"com.microsoft.OneDriveUpdaterDaemon.plist","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\Safe Storage\daemons\com.microsoft.OneDriveUpdaterDaemon.plist","12/14/2021 12:17:19 PM","12/1/2023 12:01:10 PM"
"com.microsoft.teams.TeamsUpdaterDaemon.plist","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\Safe Storage\daemons\com.microsoft.teams.TeamsUpdaterDaemon.plist","12/14/2021 12:17:20 PM","12/1/2023 12:01:10 PM"
"us.zoom.ZoomDaemon.plist","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\Safe Storage\daemons\us.zoom.ZoomDaemon.plist","12/27/2021 6:13:40 PM","12/1/2023 12:01:10 PM"
"panic-full-2022-02-12-195035.0002.panic","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\Safe Storage\dart\panic-full-2022-02-12-195035.0002.panic","2/12/2022 7:50:38 PM","12/1/2023 12:01:10 PM"
"panic-full-2022-02-09-110818.000.panic","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\Safe Storage\panic logs\panic-full-2022-02-09-110818.000.panic","2/9/2022 11:08:21 AM","12/1/2023 12:01:12 PM"
"panic-full-2022-02-13-152024.000.panic","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\Safe Storage\panic logs\panic-full-2022-02-13-152024.000.panic","2/13/2022 3:20:27 PM","12/1/2023 12:01:35 PM"
"panic-full-2022-02-15-110317.000.panic","C:\Users\gabee\iCloudDrive\Desktop\Desktop - Gabriel?s MacBook Pro - 1\backup\Safe Storage\panic logs\panic-full-2022-02-15-110317.000.panic","2/15/2022 11:03:20 AM","12/1/2023 12:01:58 PM"
