Filename,Inode,File Type,Parent Path,Birth Time,Access Time,Modify Time,Change Time
Screenshot 2023-03-26 172813.png,562949953679179,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.559000900 -0500,2023-03-26 17:28:13.172315200 -0400,2023-12-01 12:49:20.853171000 -0500
Screenshot 2023-03-26 172829.png,844424930389463,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.559000900 -0500,2023-03-26 17:28:29.000000000 -0400,2023-12-01 12:49:20.860171400 -0500
Screenshot 2023-03-26 172845.png,2251799813944658,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.558000800 -0500,2023-03-26 17:28:45.172016600 -0400,2023-12-01 12:49:20.868452900 -0500
Screenshot 2023-03-26 172847.png,1970324837336847,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.557000900 -0500,2023-03-26 17:28:47.642901400 -0400,2023-12-01 12:49:20.877455100 -0500
Screenshot 2023-03-26 172859.png,1125899907099708,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.557000900 -0500,2023-03-26 17:28:59.740289300 -0400,2023-12-01 12:49:20.885454300 -0500
Screenshot 2023-03-26 172910.png,1125899907232727,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.556000800 -0500,2023-03-26 17:29:10.470576300 -0400,2023-12-01 12:49:20.892760800 -0500
Screenshot 2023-03-26 172921.png,1125899907232731,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.556000800 -0500,2023-03-26 17:29:21.481127500 -0400,2023-12-01 12:49:20.901673700 -0500
Screenshot 2023-03-26 172940.png,1125899907232735,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.555001000 -0500,2023-03-26 17:29:40.898397200 -0400,2023-12-01 12:49:20.910672200 -0500
Screenshot 2023-03-26 172954.png,1125899907232739,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.555001000 -0500,2023-03-26 17:29:54.021638900 -0400,2023-12-01 12:49:20.918680100 -0500
Screenshot 2023-03-26 173007.png,1125899907232743,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.554001300 -0500,2023-03-26 17:30:07.211614000 -0400,2023-12-01 12:49:20.927821900 -0500
Screenshot 2023-03-26 173032.png,1125899907232749,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.553003200 -0500,2023-03-26 17:30:32.033302200 -0400,2023-12-01 12:49:20.936826600 -0500
Screenshot 2023-03-26 173045.png,1125899907232753,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.553003200 -0500,2023-03-26 17:30:45.698870200 -0400,2023-12-01 12:49:20.945948200 -0500
Screenshot 2023-03-26 173101.png,1125899907232756,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.552003900 -0500,2023-03-26 17:31:01.091369300 -0400,2023-12-01 12:49:20.953452900 -0500
Screenshot 2023-03-26 173111.png,1125899907232760,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.552003900 -0500,2023-03-26 17:31:11.424366700 -0400,2023-12-01 12:49:20.962684700 -0500
Screenshot 2023-03-26 173123.png,1125899907232764,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.551003200 -0500,2023-03-26 17:31:23.381876500 -0400,2023-12-01 12:49:20.971685800 -0500
Screenshot 2023-03-26 173130.png,1125899907232767,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.550003200 -0500,2023-03-26 17:31:30.482184400 -0400,2023-12-01 12:49:20.980920800 -0500
Screenshot 2023-03-27 100242.png,2814749767493794,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.549005100 -0500,2023-03-27 10:02:42.000000000 -0400,2023-12-01 12:49:20.988920400 -0500
Screenshot 2023-03-27 100248.png,1407374883940638,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.549005100 -0500,2023-03-27 10:02:48.650933600 -0400,2023-12-01 12:49:20.997055200 -0500
Screenshot 2023-03-27 100254.png,1407374883940643,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.548001100 -0500,2023-03-27 10:02:54.560205600 -0400,2023-12-01 12:49:21.005055300 -0500
Screenshot 2023-03-27 100259.png,1407374883940648,regular file,iCloudDrive/Pictures/Screenshots,-,2023-12-01 12:49:21.546996400 -0500,2023-03-27 10:02:59.892173600 -0400,2023-12-01 12:49:21.013209100 -0500
