Access Time,Parent Path
2021-09-21 10:12:00.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-09-21 10:12:21.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-09-21 10:12:26.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-09-21 10:12:30.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-09-21 10:12:34.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-11-08 09:51:17.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111
2021-11-05 11:46:12.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-12-03 15:22:33.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111
2021-10-13 09:25:00.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-11-09 17:51:06.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111
2021-12-03 15:23:03.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111
2021-08-23 10:58:27.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-12-03 15:22:44.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111
2021-12-03 15:22:55.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111
2021-12-04 18:51:21.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111
2021-10-24 16:54:57.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-09-06 13:18:08.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-11-05 11:49:47.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-11-05 11:49:50.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-11-05 11:49:57.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-11-05 11:49:53.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-11-05 11:50:07.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-11-05 11:50:00.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-11-05 11:50:09.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-11-05 11:50:03.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-03-26 07:48:08.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2021-09-07 19:34:51.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111
2020-08-14 13:03:13.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 1
2018-11-08 22:54:52.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 1
2018-11-08 22:54:55.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 1
2021-06-04 18:57:20.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 1
2020-06-09 15:15:01.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 1
2018-11-08 22:55:04.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 1
2018-11-08 22:58:35.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 10
2018-11-08 22:58:37.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 10
2018-11-08 22:58:41.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 10
2018-11-08 22:58:45.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 10
2018-11-08 22:58:48.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 10
2018-11-08 22:58:52.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 10
2018-11-08 22:59:03.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 11
2018-11-08 22:59:05.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 11
2018-11-08 22:59:09.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 11
2020-06-01 17:04:43.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 11
2018-11-08 22:59:17.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 11
2018-11-08 22:59:31.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 12
2018-11-08 22:59:36.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 12
2020-12-23 16:05:54.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 12
2021-07-23 16:05:10.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 12
2018-11-08 22:59:46.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 12
2021-07-23 16:06:59.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 12
2018-11-08 22:59:53.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 12
2018-11-08 23:00:04.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 13
2018-11-08 23:00:07.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 13
2020-09-22 11:42:44.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 13
2020-12-23 16:06:38.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 13
2018-11-08 23:00:24.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 14
2020-11-03 14:21:36.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 14
2021-07-23 16:08:04.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 14
2018-11-08 23:00:34.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 14
2018-11-08 23:00:37.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 14
2020-12-23 16:07:15.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 14
2018-11-08 23:00:43.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 14
2021-06-04 19:01:02.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 15
2020-12-23 16:08:28.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 15
2021-07-23 16:08:46.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 15
2018-11-08 23:01:13.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 16
2020-09-22 11:49:21.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 16
2018-11-08 23:01:18.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 16
2021-07-23 16:09:40.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 16
2018-11-08 23:01:31.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 17
2018-11-08 23:01:34.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 17
2021-03-23 19:17:08.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 17
2020-09-22 11:41:33.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 17
2018-11-08 23:01:43.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 17
2018-11-08 23:01:46.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 17
2018-11-08 23:01:50.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 17
2018-11-08 23:02:03.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 18
2018-11-08 23:02:06.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 18
2020-09-22 11:52:33.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 18
2018-11-08 23:02:13.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 18
2018-11-08 23:02:16.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 18
2018-11-08 23:02:19.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 18
2018-11-08 23:02:22.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 18
2018-11-08 23:02:26.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 18
2018-11-08 23:02:30.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 18
2018-11-08 23:02:33.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 18
2018-11-08 23:02:36.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 18
2018-11-08 23:02:40.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 18
2018-11-08 23:02:50.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 19
2018-11-08 23:02:53.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 19
2018-11-08 23:02:56.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 19
2018-11-08 22:55:17.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 2
2018-11-08 22:55:20.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 2
2019-07-23 13:12:31.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 2
2019-12-04 11:13:51.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 2
2018-11-08 22:55:29.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 2
2021-03-23 19:16:03.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 2
2018-11-08 22:55:37.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 2
2021-06-04 19:02:17.000000000 -0400,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 20
2018-11-08 23:03:08.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 20
2018-11-08 23:03:11.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 20
2020-11-03 14:29:28.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 20
2018-11-08 23:03:24.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 21
2018-11-08 23:03:27.000000000 -0500,iCloudDrive/Documents/Classes/CHEM 111/SSM/Chapter 21
