Parent Path,Access Time
iCloudDrive/Documents/Classes/CSDS 281/ModelSim/Lab 2,2074-03-09 17:20:53+00:00
iCloudDrive/Documents/Classes/CSDS 281/ModelSim/Lab 2/work,2022-02-01 18:40:13+00:00
iCloudDrive/Documents/Classes/CSDS 302,2072-02-19 05:49:13.290448384+00:00
iCloudDrive/Documents/Classes/CSDS 310,2077-10-22 15:23:55.301936452+00:00
iCloudDrive/Documents/Classes/CSDS 325,2205-10-05 19:18:12.188209652+00:00
iCloudDrive/Documents/Classes/CSDS 325/CODE/PROJECT2,1796-01-17 22:52:38.395857904+00:00
iCloudDrive/Documents/Classes/CSDS 325/CODE/PROJECT2/samp,1922-08-15 13:55:58.824805084+00:00
iCloudDrive/Documents/Classes/CSDS 325/CODE/PROJECT2/samp/SimpleCodeSample,2077-06-07 13:19:48.869760400+00:00
iCloudDrive/Documents/Classes/CSDS 325/CODE/PROJECT2/samp/SocketSample,2131-02-18 11:31:15.920000100+00:00
iCloudDrive/Documents/Classes/CSDS 325/CODE/PROJECT2/tmp,1815-08-08 18:16:39.931305784+00:00
iCloudDrive/Documents/Classes/CSDS 325/CODE/PROJECT3,1984-07-06 10:29:17.305276868+00:00
iCloudDrive/Documents/Classes/CSDS 325/CODE/PROJECT3/client-out,2023-10-14 15:00:02.962316100+00:00
iCloudDrive/Documents/Classes/CSDS 325/CODE/PROJECT3/web-stuff,1708-04-15 01:13:25.219156084+00:00
iCloudDrive/Documents/Classes/CSDS 325/CODE/PROJECT4,1811-05-25 23:25:11.084346388+00:00
iCloudDrive/Documents/Classes/CSDS 325/CODE/PROJECT4/p4-all-samples-v1,2031-12-31 19:52:02.737696784+00:00
iCloudDrive/Documents/Classes/CSDS 325/CODE/PROJECT4/p4-all-samples-v2,2031-12-17 19:40:38.837651384+00:00
iCloudDrive/Documents/Classes/CSDS 325/CODE/PROJECT5,1762-10-03 04:35:52.202599084+00:00
iCloudDrive/Documents/Classes/CSDS 325/CODE/PROJECT5/caps,1924-06-01 20:35:07.761192684+00:00
iCloudDrive/Documents/Classes/CSDS 325/CODE/PROJECT5/out,1775-06-05 05:47:45.457909356+00:00
iCloudDrive/Documents/Classes/CSDS 325/project1,2185-07-17 07:00:17.110352600+00:00
iCloudDrive/Documents/Classes/CSDS 338,2093-01-04 11:19:52.253611668+00:00
iCloudDrive/Documents/Classes/CSDS 356,2129-10-11 09:56:23.020918884+00:00
iCloudDrive/Documents/Classes/CSDS 356/aim,1758-05-18 20:35:56.776755584+00:00
iCloudDrive/Documents/Classes/CSDS 393,2037-04-26 16:54:16.206032068+00:00
iCloudDrive/Documents/Classes/ENGL 398,2023-10-24 18:27:48.702508300+00:00
iCloudDrive/Documents/Classes/ENGR 398,2023-09-23 21:28:55.927207700+00:00
iCloudDrive/Documents/Classes/FSSY 117,2220-01-28 01:36:07.161793536+00:00
iCloudDrive/Documents/Classes/FSSY 117/Papers,2073-05-18 17:23:28+00:00
iCloudDrive/Documents/Classes/JDST 371,2010-11-15 00:33:15.290448384+00:00
iCloudDrive/Documents/Classes/JDST 371/Gospels,2022-01-28 17:18:25+00:00
iCloudDrive/Documents/Classes/JDST 371/Sources for Essay 1,1698-08-30 18:00:47.290448384+00:00
iCloudDrive/Documents/Classes/JDST 371/Under Crescent and Cross,1853-09-19 05:06:18.290448384+00:00
iCloudDrive/Documents/Classes/MATH 121,1790-03-08 01:15:42.452241920+00:00
iCloudDrive/Documents/Classes/MATH 122,2032-08-13 18:41:37.161793536+00:00
iCloudDrive/Documents/Classes/MATH 201,2079-12-13 10:34:43.227156520+00:00
iCloudDrive/Documents/Classes/MATH 201/For Exam 2,1757-09-30 04:14:26.290448384+00:00
iCloudDrive/Documents/Classes/MATH 201/For Exam 2/trans_comp_rref_egs,2234-09-04 13:40:14+00:00
iCloudDrive/Documents/Classes/MATH 223,1697-11-27 09:33:00.580896768+00:00
iCloudDrive/Documents/Classes/PHYS 121,2259-08-25 15:59:58.653267752+00:00
iCloudDrive/Documents/Classes/PHYS 121/Labs/Lab #1,2022-01-18 18:22:09+00:00
iCloudDrive/Documents/Classes/PHYS 121/Labs/Lab #2,1697-11-22 10:03:41.290448384+00:00
iCloudDrive/Documents/Classes/PHYS 121/Labs/Lab #3,1750-04-08 03:49:12.290448384+00:00
iCloudDrive/Documents/Classes/PHYS 121/Labs/Lab #5,1703-06-07 09:14:34.847893584+00:00
iCloudDrive/Documents/Classes/PHYS 121/Labs/Lab #6,2126-09-24 17:55:38+00:00
iCloudDrive/Documents/Classes/PHYS 121/Long Problems,1750-06-29 07:32:31.290448384+00:00
iCloudDrive/Documents/Classes/PHYS 121/Notetaking,2178-08-05 00:30:22+00:00
iCloudDrive/Documents/Classes/PHYS 121/SI,2074-05-29 08:40:55+00:00
iCloudDrive/Documents/Classes/PHYS 121/Short Problems,2115-08-20 16:14:57.290448384+00:00
iCloudDrive/Documents/Classes/PHYS 122,1779-12-04 14:38:34.416426552+00:00
iCloudDrive/Documents/Classes/PHYS 122/Labs/DCCIR,1701-08-18 06:57:48.290448384+00:00
iCloudDrive/Documents/Classes/PHYS 122/Labs/DSO,2075-07-10 09:01:26+00:00
iCloudDrive/Documents/Classes/PHYS 122/Labs/EOM,2022-10-05 19:00:44+00:00
iCloudDrive/Documents/Classes/PHYS 122/Labs/EPF,2032-06-12 13:05:13.383156084+00:00
iCloudDrive/Documents/Classes/PHYS 122/Labs/IND,2077-10-31 10:05:51.779986300+00:00
iCloudDrive/Documents/Classes/PHYS 122/Labs/IND/D2,2032-06-12 13:00:18.207943484+00:00
iCloudDrive/Documents/Classes/PHYS 122/Labs/IND/D3,1708-12-12 06:42:51.831325184+00:00
iCloudDrive/Documents/Classes/PHYS 122/Labs/IND/D4,1816-10-12 16:48:40.046834784+00:00
iCloudDrive/Documents/Classes/PHYS 122/Labs/LCR,2077-10-31 10:04:57.857281100+00:00
iCloudDrive/Documents/Classes/PHYS 122/Labs/MAG,1825-04-24 12:37:33.580085168+00:00
iCloudDrive/Documents/Classes/PHYS 122/Labs/RCCIR,2248-02-12 08:58:44.126816184+00:00
iCloudDrive/Documents/Classes/PHYS 122/Labs/RCCIR/Logger,1708-12-12 06:37:55.464011984+00:00
iCloudDrive/Documents/Classes/PHYS 122/Labs/WAVES,2131-10-02 03:05:13.259343700+00:00
iCloudDrive/Documents/Classes/STAT 312,1825-04-24 11:44:31.131516768+00:00
iCloudDrive/Documents/Classes/STAT 312/r/hw10,2185-08-31 20:04:41.909144+00:00
iCloudDrive/Documents/Classes/USNA 240,2255-10-11 09:44:22.057708168+00:00
iCloudDrive/Documents/Classes/USSO 201,1762-08-29 11:09:27.050718184+00:00
iCloudDrive/Documents/Classes/USSO 201/FinalProject,2185-08-31 19:48:17.271472800+00:00
iCloudDrive/Documents/Classes/USSO 201/FinalProject/css,2194-03-13 14:41:37.344299184+00:00
iCloudDrive/Documents/Classes/USSO 201/FinalProject/imgs,1762-11-11 23:04:57.668635384+00:00
iCloudDrive/Documents/Classes/USSO 201/FinalProject/imgs/cnts,1879-03-25 03:52:25.232566968+00:00
iCloudDrive/Documents/Classes/USSO 201/FinalProject/imgs/prods,1762-11-11 23:04:57.589152384+00:00
iCloudDrive/Documents/Classes/USSO 201/FinalProject/js,1870-09-12 08:59:04.692845384+00:00
iCloudDrive/Documents/Classes/USSO 201/FinalProject/mp3,2023-12-01 16:57:04.188916100+00:00
