Filename,Inode,Parent Path,Birth Time,Access Time,Modify Time,Change Time
Aq rxn PP 1.pages,281474976966292,iCloudDrive/Documents/Classes//CHEM 111,-,2021-10-03 19:10:01.000000000 -0400,2021-10-03 19:10:01.000000000 -0400,2021-10-03 19:10:01.000000000 -0400
C14_GI_reaction_mechanisms.pdf,281474976965892,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:49:06.000000000 -0400,2021-11-05 11:49:06.000000000 -0400,2023-11-14 11:57:35.070114800 -0500
C14_GI_reaction_rates.pdf,281474976965718,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:48:59.000000000 -0400,2021-11-05 11:48:59.000000000 -0400,2023-11-14 11:54:12.379558900 -0500
C14_GI_reaction_ratesExerciseskey.pdf,562949953676167,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:49:03.000000000 -0400,2021-11-05 11:49:03.000000000 -0400,2023-11-14 11:58:17.569725100 -0500
C15_GI_ICEcharts.pdf,281474976965862,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:49:14.000000000 -0400,2021-11-05 11:49:14.000000000 -0400,2023-11-14 11:56:51.037442100 -0500
C15_GI_ICEchartsKeys.pdf,1970324837050157,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:49:20.000000000 -0400,2021-11-05 11:49:20.000000000 -0400,2021-11-05 11:49:20.000000000 -0400
C15_GI_equilibrium.pdf,844424930345170,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:49:10.000000000 -0400,2021-11-05 11:49:10.000000000 -0400,2023-11-14 12:02:30.241221400 -0500
C16_titrationpracitce_F21_CHEM111DBT.pdf,281474976966661,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-29 21:19:29.000000000 -0500,2021-11-29 21:19:29.000000000 -0500,2023-11-14 13:07:55.203505200 -0500
C16_titrationpracitce_F21_CHEM111DBT_key.pdf,281474976965638,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-29 21:19:35.000000000 -0500,2021-11-29 21:19:35.000000000 -0500,2023-11-14 11:52:54.665005800 -0500
C18_GI_Gibbs.pdf,562949953676159,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:48:54.000000000 -0400,2021-11-05 11:48:54.000000000 -0400,2023-11-14 11:58:41.081145900 -0500
C18_GI_entropy.pdf,562949953676199,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:48:47.000000000 -0400,2021-11-05 11:48:47.000000000 -0400,2023-11-14 11:59:02.108873900 -0500
CHEM111_PFE.pdf,844424930388520,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-21 10:12:49.000000000 -0400,2021-09-21 10:12:50.000000000 -0400,2021-09-21 10:12:50.000000000 -0400
CHEM111_PFEkey.pdf,3659174697772385,iCloudDrive/Documents/Classes//CHEM 111,-,2021-09-21 10:13:04.000000000 -0400,2021-09-21 10:13:04.000000000 -0400,2021-09-21 10:13:04.000000000 -0400
CWRU  ALEKS Quick Start-up Guide.pdf,562949953676169,iCloudDrive/Documents/Classes//CHEM 111,-,2021-08-22 22:17:37.000000000 -0400,2021-08-22 22:17:37.000000000 -0400,2023-11-14 11:58:17.618285600 -0500
CWRU ALEKS intro.pdf,281474976966773,iCloudDrive/Documents/Classes//CHEM 111,-,2021-08-22 22:17:12.000000000 -0400,2021-08-22 22:17:12.000000000 -0400,2023-11-14 13:09:59.775869100 -0500
Chemistry2e-SSM.zip,1688849860793565,iCloudDrive/Documents/Classes//CHEM 111,-,2021-10-16 16:04:36.000000000 -0400,2021-10-16 16:04:38.000000000 -0400,2021-10-16 16:04:38.000000000 -0400
Concentration  PP key.docx,281474976966077,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:43:53.000000000 -0400,2021-11-05 11:43:53.000000000 -0400,2023-11-14 12:02:54.058712300 -0500
Concentration  PP.docx,562949953676212,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-05 11:43:42.000000000 -0400,2021-11-05 11:43:42.000000000 -0400,2023-11-14 11:59:13.244171500 -0500
D11_acid_bases_B.pdf,281474976966298,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-23 10:12:33.000000000 -0500,2021-11-23 10:12:33.000000000 -0500,2023-11-14 12:07:29.613586700 -0500
D12_acid_bases.pdf,281474976966467,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-23 10:06:26.000000000 -0500,2021-11-23 10:06:26.000000000 -0500,2023-11-14 13:04:22.535504700 -0500
D13_buffers_titrations.pdf,562949953676389,iCloudDrive/Documents/Classes//CHEM 111,-,2021-11-30 10:04:07.000000000 -0500,2021-11-30 10:04:07.000000000 -0500,2023-11-14 11:54:34.992301900 -0500
D1_sigfigs_dimana.pdf,281474976966386,iCloudDrive/Documents/Classes//CHEM 111,-,2021-08-30 10:07:04.000000000 -0400,2021-08-30 10:07:05.000000000 -0400,2023-11-14 13:02:55.288733600 -0500
