"DirectoryPath","Confidence Score","Photos Directory?"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\istanbul-reports\lib\html-spa\assets","0.333333333333333","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\istanbul-reports\lib\html-spa\assets","0.333333333333333","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\prisma\build\public","0.333333333333333","No"
"C:\Users\gabee\iCloudDrive\Documents\Documents - Gabriel?s MacBook Pro","0.25","No"
"C:\Users\gabee\iCloudDrive\Pictures\israel","0.230769230769231","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\coverage","0.2","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\coverage","0.2","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\coverage","0.2","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\coverage","0.2","No"
"C:\Users\gabee\iCloudDrive\Documents","0.171428571428571","No"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 121\Labs\Lab #5","0.166666666666667","No"
"C:\Users\gabee\iCloudDrive\Documents\OriginLab\User Files","0.166666666666667","No"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT3\web-stuff","0.166666666666667","No"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 121\Labs\Lab #3","0.142857142857143","No"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 122\Labs\RCCIR","0.125","No"
"C:\Users\gabee\iCloudDrive\Documents\Classes\USNA 240","0.111111111111111","No"
"C:\Users\gabee\iCloudDrive\Desktop\Logger Pro 3","0.0714285714285714","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\test\jorr\node_modules\playwright-core\lib\server\chromium","0.0555555555555556","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\playwright-core\lib\server\chromium","0.0555555555555556","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\playwright-core\lib\server\chromium","0.0555555555555556","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\playwright-core\lib\server\chromium","0.0555555555555556","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\playwright-core\lib\server\chromium","0.0555555555555556","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\loginmsgs\jorr\node_modules\playwright-core\lib\server\chromium","0.0555555555555556","No"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT4","0.0540540540540541","No"
"C:\Users\gabee\iCloudDrive\Documents\Classes\STAT 312","0.0526315789473684","No"
"C:\Users\gabee\iCloudDrive\Pictures\chabad","0.05","No"
"C:\Users\gabee\iCloudDrive\Documents\Classes\PHYS 121","0.0256410256410256","No"
"C:\Users\gabee\iCloudDrive\Documents\Classes\MATH 122","0.0217391304347826","No"
"C:\Users\gabee\iCloudDrive\Documents\Classes\FSSY 117","0.02","No"
"C:\Users\gabee\iCloudDrive\Documents\memes","0.0178571428571429","No"
"C:\Users\gabee\iCloudDrive\Documents\Classes\CSDS 325\CODE\PROJECT2","0.015625","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\vite\types","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\y18n\build\lib","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\.svelte-kit\output\server","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\@sveltejs\kit\src\runtime","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\@babel\types\lib\builders\react","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\reusify","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\jest-leak-detector","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\istanbul-lib-instrument\node_modules\semver\internal","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\jest-each","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\@types\istanbul-lib-report","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\test2\jorr\src\lib","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\loginmsgs\jorr\node_modules\@sveltejs\kit\src\runtime\server","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\@babel\plugin-syntax-class-properties","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\coverage\jorr\.svelte-kit\generated\client-optimized\nodes","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\@babel\parser\bin","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\resolve\test\resolver\symlinked\_\node_modules","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\@types\node\ts4.8\timers","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj5\jorr\node_modules\prompts\lib\dateparts","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\coverage\jorr\src\lib\server","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\loginmsgs\jorr\node_modules\svelte\src\compiler\compile","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\test\jorr\node_modules\css-tree\cjs","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj3\jorr\node_modules\nanoid\url-alphabet","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\test\jorr\.svelte-kit\types\src\routes\upload-failed","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\prisma\prisma-client","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\loginmsgs\jorr\node_modules\css-tree\lib\convertor","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\@types\babel__traverse","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\jest-each\build","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\proj2\jorr\node_modules\@sveltejs\kit\src\core\sync","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\istanbul-lib-coverage","0","No"
"C:\Users\gabee\iCloudDrive\Documents\GitHub\jorr\node_modules\playwright\lib\common","0","No"
